alpha_lo,alpha_hi,alpha_mid,count,mean_fwd_lift
0.0,0.25,0.125,774,0.08584359047261325
0.25,0.5,0.375,949,0.0583830789256655
0.5,0.75,0.625,1115,0.06756605252323375
0.75,1.0,0.875,1044,-0.009075057026789877
1.0,1.25,1.125,932,0.03328734765792689
1.25,1.5,1.375,763,0.018788630731586153
1.5,1.75,1.625,556,0.02986181430728839
1.75,2.0,1.875,367,-0.06623344077780817
2.0,2.25,2.125,219,-0.04834920989662877
2.25,2.5,2.375,124,0.07349926486951351
2.5,2.75,2.625,56,-0.1524119135660639
2.75,3.0,2.875,33,-0.06581989792616959
3.0,3.25,3.125,18,-0.7389608494544144
3.25,3.5,3.375,4,0.7067541586845665
3.5,3.75,3.625,4,0.6480292042558867
3.75,4.0,3.875,2,-0.7885221413964916
