alpha_lo,alpha_hi,alpha_mid,count,mean_fwd_lift
0.0,0.25,0.125,717,0.024478290989871237
0.25,0.5,0.375,875,0.02999350042054197
0.5,0.75,0.625,846,-0.0026445730449211695
0.75,1.0,0.875,780,0.054728840185891636
1.0,1.25,1.125,616,-0.0026210169170717097
1.25,1.5,1.375,510,0.05961166119216338
1.5,1.75,1.625,318,0.05123025624555647
1.75,2.0,1.875,212,0.016081268076774773
2.0,2.25,2.125,161,0.0009235334157363503
2.25,2.5,2.375,96,-0.14653389259997188
2.5,2.75,2.625,45,-0.015080236163779329
2.75,3.0,2.875,15,-0.4354967173911607
3.0,3.25,3.125,21,-0.009719984779306093
3.25,3.5,3.375,13,0.051063480987971005
3.5,3.75,3.625,2,-0.3265502590233751
3.75,4.0,3.875,0,
